,Open,Close,High,Low
2017-10-04,180.21363530769696,180.00292110963807,181.3550293062851,178.4605082262655
2017-10-05,180.30201023632844,181.3776533999973,182.09619059180665,178.84604622140222
2017-10-06,181.85363163062058,179.89748465881615,182.06008940762908,179.3965056099536
2017-10-09,181.7567852188609,180.30425903073262,182.06386617771824,179.56877775414574
2017-10-10,181.93211167895345,180.455995942586,182.38985425068017,179.83148855240003
2017-10-11,182.12223775113313,180.86046963344486,182.49189459641727,180.1576670280596
2017-10-12,182.54488534369287,181.1595434628882,183.1079817703786,180.36298812922016
2017-10-13,182.6928937862621,182.10720730485662,183.36484421621995,180.85888139958598
2017-10-16,183.7835633378373,182.2906911625248,183.91683298805887,181.7259962906105
2017-10-17,184.05965830163984,182.38181761168352,184.29031206133132,181.81306748764078
2017-10-18,184.00623387379804,182.56833883570536,184.46533281862028,182.07825127388335
2017-10-19,184.34149278882123,183.13294086217596,184.91878446427663,182.26689124321038
