Date,Open_Actual,Open_Forecasted,Open_Uncertainity,Close_Actual,Close_Forecasted,Close_Uncertainity,High_Actual,High_Forecasted,High_Uncertainity,Low_Actual,Low_Forecasted,Low_Uncertainity
2017-09-06,201.75,202.29918736145873,,202.05,200.5890040818616,,202.25,201.8810707074134,,201.24,200.3020553554672,
2017-09-07,201.47,201.41197366817633,,204.46,202.41638136500134,,204.71,202.1042487753563,,201.47,201.38111550586498,
2017-09-08,204.35,202.06350083841494,,205.69,204.7510683987968,,206.12,205.68484065761558,,203.16,202.14391771366232,
2017-09-11,206.46,204.5124893947573,,209.56,206.2863218496199,,209.78,206.25450034557886,,206.09,203.13393636716418,
2017-09-12,209.91,206.727824987062,,209.64,209.71174790814683,,210.96,210.57692047148697,,209.26,206.2335298056767,
2017-09-13,209.12,209.83483531278884,,209.49,209.50693670495673,,210.29,210.93825504498525,,208.57,209.2996605500851,
2017-09-14,209.15,209.14341254994267,,211.43,209.85160494008622,,211.91,210.35741243865476,,208.74,208.7956023874627,
2017-09-15,212.59,209.21160535989767,,213.35,211.1949142509063,,214.12,212.29601385443908,,210.66,208.79901206655757,
2017-09-18,214.0,212.94452762319034,,213.76,213.67365919472618,,214.04,214.70770412777554,,212.57,210.8243401973142,
2017-09-19,214.23,214.42390956762355,,213.56,214.75024604404052,,214.65,214.52479772570064,,212.85,213.34845799569283,
2017-09-20,211.77,214.57983482675297,,210.51,213.31132572233767,,212.6,214.74918810547842,,208.31,212.7163564352404,
2017-09-21,210.9,211.73329591756803,,210.44,210.32632970537094,,211.62,212.54176041670274,,210.24,208.35064678771124,
2017-09-22,209.64,210.9491873614587,,210.76,209.84749015537216,,211.3,211.16387881472323,,209.28,210.03205535546724,
2017-09-25,210.98,209.30197366817632,,210.73,211.1654990475721,,211.22,211.1487399722903,,209.37,209.42111550586498,
2017-09-26,211.26,211.57350083841493,,211.03,211.42231956307998,,212.83,211.84503166292487,,210.93,210.04391771366232,
2017-09-27,211.09,211.4224893947573,,209.48,211.21733312775288,,211.38,212.99204436090884,,208.16,210.90393636716416,
2017-09-28,208.3,211.357824987062,,209.55,209.528017351719,,209.88,211.4731708798061,,208.25,208.3035298056767,
2017-09-29,209.06,208.22483531278885,,209.9,209.3847174278113,,209.9,209.48916523956362,,208.73,208.28966055008513,
2017-10-02,210.73,209.08341254994266,,212.76,209.9834896612495,,212.79,210.06243929154314,,210.03,208.9556023874627,
2017-10-03,212.62,210.7916053598977,,214.57,213.12526857295978,,214.6,213.3509183517844,,211.38,210.08901206655756,
2017-10-04,214.85,212.9745276231903,,216.52,214.96924837799781,,216.94,215.13261609711557,,214.5,211.54434019731417,
2017-10-05,216.49,215.27390956762355,,216.37,217.50629468953812,,217.61,217.75808031119334,,215.9,215.27845799569286,
2017-10-06,216.0,216.839834826753,,216.52,216.0798279369998,,216.54,217.71745131007742,,215.27,215.76635643524043,
2017-10-09,215.96,215.96329591756802,,216.68,216.43830431800137,,217.21,216.61672609181963,,215.69,215.31064678771125,
2017-10-10,,216.00918736145871,1.4027642728964247,,216.05993142470868,1.4383447790519164,,216.98111694119552,1.263756190573884,,215.48205535546722,1.4755859525168604
2017-10-11,,215.67116102963502,1.983808259542557,,216.69682207054075,2.0341266939037532,,216.84240554561134,1.7872211442425445,,215.62317086133217,2.086793666496566
2017-10-12,,216.26466186804998,2.429658991699021,,217.01563681131887,2.4912862361193504,,217.45935147063614,2.188889930453664,,216.2970885749945,2.555789840694119
2017-10-13,,216.42715126280729,2.8055285457928494,,217.14142094193647,2.8766895581038328,,217.48463234822194,2.527512381147768,,216.2710249421587,2.951171905033721
2017-10-16,,216.69497624986928,3.1366762706044713,,217.32812268996847,3.2162367010420008,,217.78097902356924,2.825844749109384,,216.41455474783538,3.2995104964714765
2017-10-17,,216.61981156265813,3.4360566980024947,,217.16298691137652,3.5232107828734063,,217.63753726495145,3.0955578261894723,,216.45421529792048,3.6144326552849955
